color;size;model_detail
Abu-Abu;160;Biasa
Abu-Abu;180;Biasa
Coklat;120;Biasa
Coklat;160;Biasa
Coklat;180;Biasa
Hitam;160;Biasa
Merah;160;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Pink;160;Biasa
Abu-Abu;160;Biasa
Hitam;180;Biasa
Coklat;160;Laci
Pink;160;Permata
Abu-Abu;160;Biasa
Hitam;120;Biasa
Hitam;180;Biasa
Abu-Abu;160;Biasa
Coklat;160;Biasa
Hitam;180;Biasa
Coklat;120;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Pink;120;Biasa
Hitam;160;Biasa
Pink;180;Biasa
Hitam;180;Laci
Abu-Abu;160;Permata
Hitam;160;Biasa
Merah;160;Biasa
Coklat;160;Biasa
Hitam;120;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Pink;140;Biasa
Abu-Abu;140;Biasa
Pink;120;Biasa
Hitam;140;Biasa
Hitam;160;Laci
Hitam;160;Laci
Abu-Abu;140;Permata
Hitam;120;Biasa
Hitam;140;Biasa
Abu-Abu;140;Biasa
Abu-Abu;160;Biasa
Coklat;140;Biasa
Coklat;160;Biasa
Coklat;160;Biasa
Pink;140;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Hitam;180;Biasa
Hitam;180;Biasa
Coklat;140;Biasa
Hitam;140;Permata
Abu-Abu;160;Biasa
Coklat;160;Biasa
Coklat;180;Biasa
Hitam;160;Biasa
Hitam;180;Biasa
Hitam;180;Biasa
Coklat;140;Biasa
Hitam;140;Biasa
Merah;180;Biasa
Abu-Abu;160;Biasa
Coklat;140;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Hitam;120;Permata
Abu-Abu;120;Biasa
Abu-Abu;160;Biasa
Hitam;180;Biasa
Abu-Abu;160;Biasa
Abu-Abu;160;Biasa
Coklat;160;Biasa
Hitam;120;Biasa
Hitam;160;Biasa
Coklat;160;Biasa
Hitam;140;Biasa
Hitam;180;Biasa
Coklat;120;Biasa
Coklat;180;Permata
Hitam;140;Permata
Hitam;140;Biasa
Abu-Abu;140;Biasa
Abu-Abu;140;Biasa
Abu-Abu;140;Biasa
Hitam;140;Biasa
Hitam;160;Biasa
Coklat;160;Biasa
Abu-Abu;160;Biasa
Coklat;140;Biasa
Coklat;160;Biasa
Coklat;160;Biasa
Hitam;160;Biasa
Pink;160;Biasa
Hitam;140;Permata
Hitam;160;Biasa
Abu-Abu;160;Biasa
Abu-Abu;160;Biasa
Hitam;160;Biasa
Merah;140;Biasa
Coklat;180;Biasa
Hitam;120;Biasa
Abu-Abu;160;Laci
Coklat;160;Permata
Merah;120;Permata
Hitam;160;Permata
Hitam;180;Permata
Merah;180;Permata
Hitam;180;Permata
Merah;180;Biasa
Pink;140;Biasa
Pink;160;Biasa
Coklat;140;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Hitam;180;Biasa
Hitam;180;Biasa
Hitam;140;Biasa
Hitam;160;Biasa
Abu-Abu;140;Permata
Merah;160;Permata
Hitam;120;Permata
Abu-Abu;160;Biasa
Coklat;180;Biasa
Pink;160;Biasa
Pink;180;Biasa
Coklat;160;Biasa
Coklat;160;Biasa
Hitam;140;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Hitam;180;Biasa
Merah;160;Biasa
Coklat;160;Biasa
Hitam;160;Laci
Merah;160;Permata
Hitam;120;Biasa
Hitam;160;Biasa
Merah;160;Biasa
Pink;180;Biasa
Abu-Abu;120;Biasa
Abu-Abu;160;Biasa
Coklat;160;Biasa
Merah;140;Biasa
Abu-Abu;140;Biasa
Hitam;140;Biasa
Hitam;160;Biasa
Pink;180;Biasa
Hitam;160;Laci
Coklat;120;Permata
Hitam;160;Biasa
Abu-Abu;160;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Coklat;160;Biasa
Coklat;160;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Hitam;120;Biasa
Hitam;160;Biasa
Merah;140;Biasa
Pink;160;Biasa
Hitam;160;Laci
Abu-Abu;160;Permata
Abu-Abu;160;Biasa
Coklat;160;Biasa
Abu-Abu;160;Biasa
Coklat;160;Biasa
Hitam;140;Biasa
Abu-Abu;160;Biasa
Abu-Abu;160;Biasa
Abu-Abu;180;Biasa
Hitam;140;Biasa
Hitam;160;Biasa
Merah;140;Biasa
Merah;140;Biasa
Hitam;160;Laci
Abu-Abu;140;Laci
Abu-Abu;180;Biasa
Coklat;160;Biasa
Pink;140;Biasa
Pink;180;Biasa
Hitam;160;Biasa
Pink;120;Biasa
Coklat;180;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Hitam;180;Biasa
Pink;160;Laci
Abu-Abu;180;Laci
Hitam;140;Laci
Coklat;140;Permata
Coklat;160;Biasa
Coklat;160;Biasa
Hitam;160;Biasa
Abu-Abu;140;Biasa
Hitam;160;Biasa
Pink;160;Biasa
Coklat;160;Biasa
Coklat;160;Biasa
Coklat;160;Biasa
Hitam;180;Biasa
Hitam;160;Biasa
Hitam;160;Laci
Coklat;160;Permata
Hitam;160;Permata
Abu-Abu;140;Biasa
Abu-Abu;140;Biasa
Abu-Abu;160;Biasa
Coklat;140;Biasa
Hitam;140;Biasa
Abu-Abu;140;Biasa
Coklat;160;Biasa
Coklat;160;Biasa
Coklat;160;Biasa
Hitam;160;Biasa
Hitam;160;Biasa
Hitam;180;Laci
Abu-Abu;160;Permata
Coklat;140;Permata
Hitam;120;Biasa
Hitam;160;Biasa
Merah;120;Biasa
Abu-Abu;160;Biasa
Coklat;180;Biasa
Hitam;140;Biasa
Hitam;160;Biasa
Merah;120;Biasa
Abu-Abu;160;Biasa
Hitam;120;Biasa
Merah;160;Biasa
Pink;180;Biasa
Abu-Abu;140;Laci
Pink;160;Laci
Merah;120;Biasa
