order_id;order_date;order_detail/information;order_status;order_deadline
1;01/11/2020;Tipe1 Biasa 160 Abu-Abu;;
2;01/11/2020;Tipe1 Biasa 180 Abu-Abu;;
3;01/11/2020;Tipe1 Biasa 120 Coklat;;
4;01/11/2020;Tipe1 Biasa 160 Coklat;;
5;01/11/2020;Tipe2 Biasa 180 Coklat;;
6;01/11/2020;Tipe2 Biasa 160 Hitam;;
7;01/11/2020;Tipe2 Biasa 160 Merah;;
8;03/11/2020;Tipe3 Biasa 160 Hitam;;
9;03/11/2020;Tipe3 Biasa 160 Hitam;;
10;03/11/2020;Tipe3 Biasa 160 Pink;;
11;03/11/2020;Tipe4 Biasa 160 Abu-Abu;;
12;03/11/2020;Tipe4 Biasa 180 Hitam;;
13;03/11/2020;Tipe4 Laci 160 Coklat;;
14;03/11/2020;Tipe2 Permata 160 Pink;;
15;05/11/2020;Tipe1 Biasa 160 Abu-Abu;;
16;05/11/2020;Tipe1 Biasa 120 Hitam;;
17;05/11/2020;Tipe1 Biasa 180 Hitam;;
18;05/11/2020;Tipe2 Biasa 160 Abu-Abu;;
19;05/11/2020;Tipe2 Biasa 160 Coklat;;
20;05/11/2020;Tipe2 Biasa 180 Hitam;;
21;05/11/2020;Tipe3 Biasa 120 Coklat;;
22;05/11/2020;Tipe3 Biasa 160 Hitam;;
23;05/11/2020;Tipe3 Biasa 160 Hitam;;
24;05/11/2020;Tipe3 Biasa 120 Pink;;
25;05/11/2020;Tipe4 Biasa 160 Hitam;;
26;05/11/2020;Tipe4 Biasa 180 Pink;;
27;05/11/2020;Tipe2 Laci 180 Hitam;;
28;05/11/2020;Tipe4 Permata 160 Abu-Abu;;
29;05/11/2020;Tipe1 Biasa 160 Hitam;;
30;05/11/2020;Tipe1 Biasa 160 Merah;;
31;08/11/2020;Tipe2 Biasa 160 Coklat;;
32;08/11/2020;Tipe2 Biasa 120 Hitam;;
33;08/11/2020;Tipe2 Biasa 160 Hitam;;
34;08/11/2020;Tipe2 Biasa 160 Hitam;;
35;08/11/2020;Tipe2 Biasa 160 Hitam;;
36;08/11/2020;Tipe2 Biasa 140 Pink;;
37;08/11/2020;Tipe3 Biasa 140 Abu-Abu;;
38;10/11/2020;Tipe3 Biasa 120 Pink;;
39;10/11/2020;Tipe4 Biasa 140 Hitam;;
40;10/11/2020;Tipe2 Laci 160 Hitam;;
41;10/11/2020;Tipe4 Laci 160 Hitam;;
42;10/11/2020;Tipe3 Permata 140 Abu-Abu;;
43;10/11/2020;Tipe1 Biasa 120 Hitam;;
44;10/11/2020;Tipe1 Biasa 140 Hitam;;
45;10/11/2020;Tipe2 Biasa 140 Abu-Abu;;
46;12/11/2020;Tipe2 Biasa 160 Abu-Abu;;
47;12/11/2020;Tipe2 Biasa 140 Coklat;;
48;12/11/2020;Tipe2 Biasa 160 Coklat;;
49;12/11/2020;Tipe2 Biasa 160 Coklat;;
50;12/11/2020;Tipe2 Biasa 140 Pink;;
51;12/11/2020;Tipe3 Biasa 160 Hitam;;
52;12/11/2020;Tipe3 Biasa 160 Hitam;;
53;12/11/2020;Tipe3 Biasa 180 Hitam;;
54;12/11/2020;Tipe3 Biasa 180 Hitam;;
55;12/11/2020;Tipe4 Biasa 140 Coklat;;
56;15/11/2020;Tipe2 Permata 140 Hitam;;
57;15/11/2020;Tipe1 Biasa 160 Abu-Abu;;
58;15/11/2020;Tipe1 Biasa 160 Coklat;;
59;15/11/2020;Tipe1 Biasa 180 Coklat;;
60;15/11/2020;Tipe2 Biasa 160 Hitam;;
61;15/11/2020;Tipe2 Biasa 180 Hitam;;
62;15/11/2020;Tipe2 Biasa 180 Hitam;;
63;15/11/2020;Tipe3 Biasa 140 Coklat;;
64;17/11/2020;Tipe3 Biasa 140 Hitam;;
65;17/11/2020;Tipe3 Biasa 180 Merah;;
66;17/11/2020;Tipe4 Biasa 160 Abu-Abu;;
67;17/11/2020;Tipe4 Biasa 140 Coklat;;
68;17/11/2020;Tipe4 Biasa 160 Hitam;;
69;17/11/2020;Tipe4 Biasa 160 Hitam;;
70;17/11/2020;Tipe2 Permata 120 Hitam;;
71;17/11/2020;Tipe1 Biasa 120 Abu-Abu;;
72;17/11/2020;Tipe1 Biasa 160 Abu-Abu;;
73;17/11/2020;Tipe1 Biasa 180 Hitam;;
74;17/11/2020;Tipe2 Biasa 160 Abu-Abu;;
75;17/11/2020;Tipe2 Biasa 160 Abu-Abu;;
76;19/11/2020;Tipe2 Biasa 160 Coklat;;
77;19/11/2020;Tipe2 Biasa 120 Hitam;;
78;19/11/2020;Tipe2 Biasa 160 Hitam;;
79;19/11/2020;Tipe3 Biasa 160 Coklat;;
80;19/11/2020;Tipe3 Biasa 140 Hitam;;
81;19/11/2020;Tipe3 Biasa 180 Hitam;;
82;19/11/2020;Tipe4 Biasa 120 Coklat;;
83;19/11/2020;Tipe2 Permata 180 Coklat;;
84;19/11/2020;Tipe2 Permata 140 Hitam;;
85;19/11/2020;Tipe1 Biasa 140 Hitam;;
