Order_ID;Size;Color;Order;Detail_Divan;Buyer_ID;Order_Date;Finish_Date;order_detail/information;Price;;;;;
1;160;Abu-Abu;Tipe2;Biasa;5;2019-05-01;2019-05-08;Tipe2 Biasa 160 Abu-Abu;1100000;;;;;
2;160;Coklat;Tipe1;Biasa;5;2019-05-01;2019-05-08;Tipe1 Biasa 160 Coklat;700000;;;;;
3;160;Coklat;Tipe3;Biasa;5;2019-05-01;2019-05-08;Tipe3 Biasa 160 Coklat;1200000;;;;;
4;140;Merah;Tipe2;Biasa;5;2019-05-01;2019-05-08;Tipe2 Biasa 140 Merah;1100000;;;;;
5;180;Pink;Tipe2;Permata;3;2019-05-03;2019-05-10;Tipe2 Permata 180 Pink;1700000;;;;;
6;160;Hitam;Tipe2;Biasa;3;2019-05-03;2019-05-10;Tipe2 Biasa 160 Hitam;1100000;;;;;
7;160;Coklat;Tipe3;Biasa;3;2019-05-03;2019-05-10;Tipe3 Biasa 160 Coklat;1200000;;;;;
8;160;Coklat;Tipe2;Biasa;3;2019-05-03;2019-05-10;Tipe2 Biasa 160 Coklat;1100000;;;;;
9;180;Abu-Abu;Tipe4;Biasa;3;2019-05-03;2019-05-10;Tipe4 Biasa 180 Abu-Abu;1300000;;;;;
10;160;Hitam;Tipe2;Biasa;3;2019-05-03;2019-05-10;Tipe2 Biasa 160 Hitam;1100000;;;;;
11;180;Pink;Tipe1;Biasa;3;2019-05-03;2019-05-10;Tipe1 Biasa 180 Pink;700000;;;;;
12;120;Coklat;Tipe1;Biasa;2;2019-05-05;2019-05-12;Tipe1 Biasa 120 Coklat;700000;;;;;
13;120;Merah;Tipe1;Laci;2;2019-05-05;2019-05-12;Tipe1 Laci 120 Merah;1000000;;;;;
14;160;Coklat;Tipe4;Laci;2;2019-05-05;2019-05-12;Tipe4 Laci 160 Coklat;1600000;;;;;
15;180;Pink;Tipe1;Biasa;2;2019-05-05;2019-05-12;Tipe1 Biasa 180 Pink;700000;;;;;
16;160;Hitam;Tipe1;Permata;2;2019-05-05;2019-05-12;Tipe1 Permata 160 Hitam;1300000;;;;;
17;160;Coklat;Tipe2;Biasa;2;2019-05-05;2019-05-12;Tipe2 Biasa 160 Coklat;1100000;;;;;
18;140;Hitam;Tipe3;Laci;2;2019-05-05;2019-05-12;Tipe3 Laci 140 Hitam;1500000;;;;;
19;140;Hitam;Tipe4;Biasa;2;2019-05-05;2019-05-12;Tipe4 Biasa 140 Hitam;1300000;;;;;
20;160;Merah;Tipe1;Biasa;2;2019-05-05;2019-05-12;Tipe1 Biasa 160 Merah;700000;;;;;
21;120;Coklat;Tipe2;Biasa;2;2019-05-05;2019-05-12;Tipe2 Biasa 120 Coklat;1100000;;;;;
22;160;Hitam;Tipe4;Biasa;1;2019-05-08;2019-05-15;Tipe4 Biasa 160 Hitam;1300000;;;;;
23;140;Hitam;Tipe1;Laci;1;2019-05-08;2019-05-15;Tipe1 Laci 140 Hitam;1000000;;;;;
24;180;Hitam;Tipe1;Biasa;1;2019-05-08;2019-05-15;Tipe1 Biasa 180 Hitam;700000;;;;;
25;120;Coklat;Tipe2;Biasa;1;2019-05-08;2019-05-15;Tipe2 Biasa 120 Coklat;1100000;;;;;
26;140;Hitam;Tipe1;Biasa;1;2019-05-08;2019-05-15;Tipe1 Biasa 140 Hitam;700000;;;;;
27;160;Coklat;Tipe1;Biasa;1;2019-05-08;2019-05-15;Tipe1 Biasa 160 Coklat;700000;;;;;
28;140;Hitam;Tipe3;Biasa;1;2019-05-08;2019-05-15;Tipe3 Biasa 140 Hitam;1200000;;;;;
29;160;Hitam;Tipe1;Biasa;1;2019-05-08;2019-05-15;Tipe1 Biasa 160 Hitam;700000;;;;;
30;180;Hitam;Tipe1;Biasa;2;2019-05-10;2019-05-17;Tipe1 Biasa 180 Hitam;700000;;;;;
31;160;Merah;Tipe1;Biasa;2;2019-05-10;2019-05-17;Tipe1 Biasa 160 Merah;700000;;;;;
32;120;Pink;Tipe1;Biasa;2;2019-05-10;2019-05-17;Tipe1 Biasa 120 Pink;700000;;;;;
33;160;Pink;Tipe1;Biasa;2;2019-05-10;2019-05-17;Tipe1 Biasa 160 Pink;700000;;;;;
34;180;Hitam;Tipe4;Biasa;2;2019-05-10;2019-05-17;Tipe4 Biasa 180 Hitam;1300000;;;;;
35;180;Merah;Tipe2;Biasa;6;2019-05-12;2019-05-19;Tipe2 Biasa 180 Merah;1100000;;;;;
36;120;Coklat;Tipe3;Biasa;6;2019-05-12;2019-05-19;Tipe3 Biasa 120 Coklat;1200000;;;;;
37;160;Merah;Tipe1;Biasa;6;2019-05-12;2019-05-19;Tipe1 Biasa 160 Merah;700000;;;;;
38;120;Merah;Tipe2;Biasa;6;2019-05-12;2019-05-19;Tipe2 Biasa 120 Merah;1100000;;;;;
39;160;Pink;Tipe1;Laci;6;2019-05-12;2019-05-19;Tipe1 Laci 160 Pink;1000000;;;;;
40;120;Merah;Tipe4;Biasa;6;2019-05-12;2019-05-19;Tipe4 Biasa 120 Merah;1300000;;;;;
41;160;Abu-Abu;Tipe2;Permata;6;2019-05-12;2019-05-19;Tipe2 Permata 160 Abu-Abu;1700000;;;;;
42;180;Merah;Tipe3;Biasa;6;2019-05-12;2019-05-19;Tipe3 Biasa 180 Merah;1200000;;;;;
43;160;Hitam;Tipe1;Laci;6;2019-05-12;2019-05-19;Tipe1 Laci 160 Hitam;1000000;;;;;
44;180;Coklat;Tipe3;Permata;6;2019-05-12;2019-05-19;Tipe3 Permata 180 Coklat;1800000;;;;;
45;160;Abu-Abu;Tipe1;Biasa;6;2019-05-12;2019-05-19;Tipe1 Biasa 160 Abu-Abu;700000;;;;;
46;160;Hitam;Tipe3;Laci;4;2019-05-15;2019-05-22;Tipe3 Laci 160 Hitam;1500000;;;;;
47;140;Abu-Abu;Tipe2;Laci;4;2019-05-15;2019-05-22;Tipe2 Laci 140 Abu-Abu;1400000;;;;;
48;160;Abu-Abu;Tipe4;Biasa;4;2019-05-15;2019-05-22;Tipe4 Biasa 160 Abu-Abu;1300000;;;;;
49;120;Abu-Abu;Tipe1;Biasa;4;2019-05-15;2019-05-22;Tipe1 Biasa 120 Abu-Abu;700000;;;;;
50;160;Abu-Abu;Tipe2;Permata;4;2019-05-15;2019-05-22;Tipe2 Permata 160 Abu-Abu;1700000;;;;;
51;160;Merah;Tipe2;Biasa;4;2019-05-15;2019-05-22;Tipe2 Biasa 160 Merah;1100000;;;;;
52;160;Hitam;Tipe2;Biasa;4;2019-05-15;2019-05-22;Tipe2 Biasa 160 Hitam;1100000;;;;;
53;160;Hitam;Tipe3;Laci;4;2019-05-15;2019-05-22;Tipe3 Laci 160 Hitam;1500000;;;;;
54;160;Coklat;Tipe1;Biasa;2;2019-05-17;2019-05-24;Tipe1 Biasa 160 Coklat;700000;;;;;
55;180;Abu-Abu;Tipe1;Biasa;2;2019-05-17;2019-05-24;Tipe1 Biasa 180 Abu-Abu;700000;;;;;
56;160;Hitam;Tipe2;Laci;2;2019-05-17;2019-05-24;Tipe2 Laci 160 Hitam;1400000;;;;;
57;120;Abu-Abu;Tipe4;Biasa;2;2019-05-17;2019-05-24;Tipe4 Biasa 120 Abu-Abu;1300000;;;;;
58;120;Merah;Tipe1;Biasa;2;2019-05-17;2019-05-24;Tipe1 Biasa 120 Merah;700000;;;;;
59;180;Hitam;Tipe1;Laci;2;2019-05-17;2019-05-24;Tipe1 Laci 180 Hitam;1000000;;;;;
60;140;Hitam;Tipe1;Biasa;2;2019-05-17;2019-05-24;Tipe1 Biasa 140 Hitam;700000;;;;;
61;180;Abu-Abu;Tipe1;Biasa;2;2019-05-17;2019-05-24;Tipe1 Biasa 180 Abu-Abu;700000;;;;;
62;160;Coklat;Tipe2;Biasa;2;2019-05-17;2019-05-24;Tipe2 Biasa 160 Coklat;1100000;;;;;
63;120;Pink;Tipe3;Laci;2;2019-05-17;2019-05-24;Tipe3 Laci 120 Pink;1500000;;;;;
64;180;Hitam;Tipe2;Biasa;2;2019-05-17;2019-05-24;Tipe2 Biasa 180 Hitam;1100000;;;;;
65;180;Hitam;Tipe1;Biasa;2;2019-05-17;2019-05-24;Tipe1 Biasa 180 Hitam;700000;;;;;
66;160;Coklat;Tipe3;Biasa;3;2019-05-19;2019-05-26;Tipe3 Biasa 160 Coklat;1200000;;;;;
67;160;Hitam;Tipe3;Laci;3;2019-05-19;2019-05-26;Tipe3 Laci 160 Hitam;1500000;;;;;
68;160;Hitam;Tipe2;Biasa;3;2019-05-19;2019-05-26;Tipe2 Biasa 160 Hitam;1100000;;;;;
69;160;Hitam;Tipe1;Biasa;3;2019-05-19;2019-05-26;Tipe1 Biasa 160 Hitam;700000;;;;;
70;120;Hitam;Tipe3;Biasa;3;2019-05-19;2019-05-26;Tipe3 Biasa 120 Hitam;1200000;;;;;
71;160;Merah;Tipe3;Biasa;3;2019-05-19;2019-05-26;Tipe3 Biasa 160 Merah;1200000;;;;;
