Order_ID,Size,Color,Order,Detail_Divan,Buyer_ID,Order_Date,Finish_Date,Price
1,160,Abu-Abu,Tipe1,Biasa,1,11/1/2020,11/8/2020,1200000
2,180,Abu-Abu,Tipe1,Biasa,1,11/1/2020,11/8/2020,1200000
3,120,Coklat,Tipe1,Biasa,1,11/1/2020,11/8/2020,1200000
4,160,Coklat,Tipe1,Biasa,1,11/1/2020,11/8/2020,1200000
5,180,Coklat,Tipe2,Biasa,1,11/1/2020,11/8/2020,700000
6,160,Hitam,Tipe2,Biasa,1,11/1/2020,11/8/2020,700000
7,160,Merah,Tipe2,Biasa,1,11/1/2020,11/8/2020,700000
8,160,Hitam,Tipe3,Biasa,1,11/1/2020,11/8/2020,1100000
9,160,Hitam,Tipe3,Biasa,1,11/1/2020,11/8/2020,1100000
10,160,Pink,Tipe3,Biasa,1,11/1/2020,11/8/2020,1100000
11,160,Abu-Abu,Tipe4,Biasa,1,11/1/2020,11/8/2020,1300000
12,180,Hitam,Tipe4,Biasa,1,11/1/2020,11/8/2020,1300000
13,160,Coklat,Tipe4,Laci,1,11/1/2020,11/8/2020,1600000
14,160,Pink,Tipe2,Permata,1,11/1/2020,11/8/2020,1300000
15,160,Abu-Abu,Tipe1,Biasa,2,11/2/2020,11/9/2020,1200000
16,120,Hitam,Tipe1,Biasa,2,11/2/2020,11/9/2020,1200000
17,180,Hitam,Tipe1,Biasa,2,11/2/2020,11/9/2020,1200000
18,160,Abu-Abu,Tipe2,Biasa,2,11/2/2020,11/9/2020,700000
19,160,Coklat,Tipe2,Biasa,2,11/2/2020,11/9/2020,700000
20,180,Hitam,Tipe2,Biasa,2,11/2/2020,11/9/2020,700000
21,120,Coklat,Tipe3,Biasa,2,11/2/2020,11/9/2020,1100000
22,160,Hitam,Tipe3,Biasa,2,11/2/2020,11/9/2020,1100000
23,160,Hitam,Tipe3,Biasa,2,11/2/2020,11/9/2020,1100000
24,120,Pink,Tipe3,Biasa,2,11/2/2020,11/9/2020,1100000
25,160,Hitam,Tipe4,Biasa,2,11/2/2020,11/9/2020,1300000
26,180,Pink,Tipe4,Biasa,2,11/2/2020,11/9/2020,1300000
27,180,Hitam,Tipe2,Laci,2,11/2/2020,11/9/2020,1000000
28,160,Abu-Abu,Tipe4,Permata,2,11/2/2020,11/9/2020,1900000
29,160,Hitam,Tipe1,Biasa,1,11/8/2020,11/15/2020,1200000
30,160,Merah,Tipe1,Biasa,1,11/8/2020,11/15/2020,1200000
31,160,Coklat,Tipe2,Biasa,1,11/8/2020,11/15/2020,700000
32,120,Hitam,Tipe2,Biasa,1,11/8/2020,11/15/2020,700000
33,160,Hitam,Tipe2,Biasa,1,11/8/2020,11/15/2020,700000
34,160,Hitam,Tipe2,Biasa,1,11/8/2020,11/15/2020,700000
35,160,Hitam,Tipe2,Biasa,1,11/8/2020,11/15/2020,700000
36,140,Pink,Tipe2,Biasa,1,11/8/2020,11/15/2020,700000
37,140,Abu-Abu,Tipe3,Biasa,1,11/8/2020,11/15/2020,1100000
38,120,Pink,Tipe3,Biasa,1,11/8/2020,11/15/2020,1100000
39,140,Hitam,Tipe4,Biasa,1,11/8/2020,11/15/2020,1300000
40,160,Hitam,Tipe2,Laci,1,11/8/2020,11/15/2020,1000000
41,160,Hitam,Tipe4,Laci,1,11/8/2020,11/15/2020,1600000
42,140,Abu-Abu,Tipe3,Permata,1,11/8/2020,11/15/2020,1700000
43,120,Hitam,Tipe1,Biasa,2,11/9/2020,11/16/2020,1200000
44,140,Hitam,Tipe1,Biasa,2,11/9/2020,11/16/2020,1200000
45,140,Abu-Abu,Tipe2,Biasa,2,11/9/2020,11/16/2020,700000
46,160,Abu-Abu,Tipe2,Biasa,2,11/9/2020,11/16/2020,700000
47,140,Coklat,Tipe2,Biasa,2,11/9/2020,11/16/2020,700000
48,160,Coklat,Tipe2,Biasa,2,11/9/2020,11/16/2020,700000
49,160,Coklat,Tipe2,Biasa,2,11/9/2020,11/16/2020,700000
50,140,Pink,Tipe2,Biasa,2,11/9/2020,11/16/2020,700000
51,160,Hitam,Tipe3,Biasa,2,11/9/2020,11/16/2020,1100000
52,160,Hitam,Tipe3,Biasa,2,11/9/2020,11/16/2020,1100000
53,180,Hitam,Tipe3,Biasa,2,11/9/2020,11/16/2020,1100000
